STATE,YEAR,RAPE,K&A,DD,AoW,AoM,DV,WT,STATE_POPULATION,TOTAL_CRIME,CRIME_RATE
JHARKHAND,2001-01-01,47,23,18,25,0,40,0,27679612,154,0.55636618
JHARKHAND,2001-02-01,47,23,18,25,0,40,0,27720439,154,0.555546757
JHARKHAND,2001-03-01,47,23,18,25,0,40,0,27761327,154,0.554728526
JHARKHAND,2001-04-01,47,23,18,25,0,40,0,27802275,154,0.553911505
JHARKHAND,2001-05-01,47,23,18,25,0,40,0,27843283,154,0.553095696
JHARKHAND,2001-06-01,47,23,18,25,0,40,0,27884352,154,0.552281079
JHARKHAND,2001-07-01,47,23,18,25,0,40,0,27925482,154,0.551467652
JHARKHAND,2001-08-01,47,23,18,25,0,40,0,27966672,154,0.550655437
JHARKHAND,2001-09-01,47,23,18,25,0,40,0,28007923,154,0.549844414
JHARKHAND,2001-10-01,47,23,18,25,0,40,0,28049234,154,0.549034601
JHARKHAND,2001-11-01,47,23,18,25,0,40,0,28090607,154,0.54822596
JHARKHAND,2001-12-01,47,23,18,25,0,40,0,28132041,154,0.547418511
JHARKHAND,2002-01-01,66,15,23,34,0,49,3,28169541,191,0.678037317
JHARKHAND,2002-02-01,66,15,23,34,0,49,3,28211091,191,0.677038687
JHARKHAND,2002-03-01,66,15,23,34,0,49,3,28252702,191,0.676041534
JHARKHAND,2002-04-01,66,15,23,34,0,49,3,28294375,191,0.675045835
JHARKHAND,2002-05-01,66,15,23,34,0,49,3,28336109,191,0.674051614
JHARKHAND,2002-06-01,66,15,23,34,0,49,3,28377905,191,0.673058846
JHARKHAND,2002-07-01,66,15,23,34,0,49,3,28419763,191,0.672067533
JHARKHAND,2002-08-01,66,15,23,34,0,49,3,28461682,191,0.671077697
JHARKHAND,2002-09-01,66,15,23,34,0,49,3,28503663,191,0.670089314
JHARKHAND,2002-10-01,66,15,23,34,0,49,3,28545706,191,0.669102386
JHARKHAND,2002-11-01,66,15,23,34,0,49,3,28587810,191,0.668116935
JHARKHAND,2002-12-01,66,15,23,34,0,49,3,28629978,191,0.667132891
JHARKHAND,2003-01-01,59,22,22,35,0,47,0,28668142,185,0.645315626
JHARKHAND,2003-02-01,59,22,22,35,0,47,0,28710428,185,0.644365176
JHARKHAND,2003-03-01,59,22,22,35,0,47,0,28752775,185,0.643416157
JHARKHAND,2003-04-01,59,22,22,35,0,47,0,28795186,185,0.642468502
JHARKHAND,2003-05-01,59,22,22,35,0,47,0,28837659,185,0.641522254
JHARKHAND,2003-06-01,59,22,22,35,0,47,0,28880194,185,0.640577414
JHARKHAND,2003-07-01,59,22,22,35,0,47,0,28922792,185,0.639633961
JHARKHAND,2003-08-01,59,22,22,35,0,47,0,28965454,185,0.638691871
JHARKHAND,2003-09-01,59,22,22,35,0,47,0,29008178,185,0.637751189
JHARKHAND,2003-10-01,59,22,22,35,0,47,0,29050965,185,0.636811892
JHARKHAND,2003-11-01,59,22,22,35,0,47,0,29093815,185,0.635873982
JHARKHAND,2003-12-01,59,22,22,35,0,47,0,29136728,185,0.634937458
JHARKHAND,2004-01-01,66,15,23,34,0,49,3,29175568,191,0.654657349
JHARKHAND,2004-02-01,66,15,23,34,0,49,3,29218602,191,0.653693151
JHARKHAND,2004-03-01,66,15,23,34,0,49,3,29261699,191,0.652730383
JHARKHAND,2004-04-01,66,15,23,34,0,49,3,29304860,191,0.651769024
JHARKHAND,2004-05-01,66,15,23,34,0,49,3,29348085,191,0.650809073
JHARKHAND,2004-06-01,66,15,23,34,0,49,3,29391374,191,0.649850531
JHARKHAND,2004-07-01,66,15,23,34,0,49,3,29434726,191,0.648893419
JHARKHAND,2004-08-01,66,15,23,34,0,49,3,29478142,191,0.647937716
JHARKHAND,2004-09-01,66,15,23,34,0,49,3,29521622,191,0.646983421
JHARKHAND,2004-10-01,66,15,23,34,0,49,3,29565167,191,0.646030513
JHARKHAND,2004-11-01,66,15,23,34,0,49,3,29608775,191,0.645079035
JHARKHAND,2004-12-01,66,15,23,34,0,49,3,29652448,191,0.644128943
JHARKHAND,2005-01-01,63,24,21,24,3,49,0,29691976,185,0.623063955
JHARKHAND,2005-02-01,63,24,21,24,3,49,0,29735772,185,0.622146282
JHARKHAND,2005-03-01,63,24,21,24,3,49,0,29779632,185,0.621229974
JHARKHAND,2005-04-01,63,24,21,24,3,49,0,29823557,185,0.620315008
JHARKHAND,2005-05-01,63,24,21,24,3,49,0,29867547,185,0.619401386
JHARKHAND,2005-06-01,63,24,21,24,3,49,0,29911601,185,0.618489127
JHARKHAND,2005-07-01,63,24,21,24,3,49,0,29955721,185,0.617578191
JHARKHAND,2005-08-01,63,24,21,24,3,49,0,29999906,185,0.616668599
JHARKHAND,2005-09-01,63,24,21,24,3,49,0,30044155,185,0.61576037
JHARKHAND,2005-10-01,63,24,21,24,3,49,0,30088471,185,0.614853443
JHARKHAND,2005-11-01,63,24,21,24,3,49,0,30132851,185,0.61394788
JHARKHAND,2005-12-01,63,24,21,24,3,49,0,30177297,185,0.61304364
JHARKHAND,2006-01-01,67,34,23,34,4,56,0,30217524,218,0.721435681
JHARKHAND,2006-02-01,67,34,23,34,4,56,0,30262095,218,0.720373127
JHARKHAND,2006-03-01,67,34,23,34,4,56,0,30306731,218,0.719312155
JHARKHAND,2006-04-01,67,34,23,34,4,56,0,30351434,218,0.718252719
JHARKHAND,2006-05-01,67,34,23,34,4,56,0,30396202,218,0.717194865
JHARKHAND,2006-06-01,67,34,23,34,4,56,0,30441037,218,0.716138547
JHARKHAND,2006-07-01,67,34,23,34,4,56,0,30485937,218,0.715083811
JHARKHAND,2006-08-01,67,34,23,34,4,56,0,30530904,218,0.71403061
JHARKHAND,2006-09-01,67,34,23,34,4,56,0,30575937,218,0.712978968
JHARKHAND,2006-10-01,67,34,23,34,4,56,0,30621037,218,0.711928861
JHARKHAND,2006-11-01,67,34,23,34,4,56,0,30666203,218,0.710880313
JHARKHAND,2006-12-01,67,34,23,34,4,56,0,30711435,218,0.709833324
JHARKHAND,2007-01-01,71,44,25,28,1,67,0,30752374,238,0.77392399
JHARKHAND,2007-02-01,71,44,25,28,1,67,0,30797734,238,0.772784128
JHARKHAND,2007-03-01,71,44,25,28,1,67,0,30843160,238,0.771645966
JHARKHAND,2007-04-01,71,44,25,28,1,67,0,30888654,238,0.770509456
JHARKHAND,2007-05-01,71,44,25,28,1,67,0,30934215,238,0.769374623
JHARKHAND,2007-06-01,71,44,25,28,1,67,0,30979843,238,0.768241466
JHARKHAND,2007-07-01,71,44,25,28,1,67,0,31025538,238,0.767109985
